class1,class2,domain1,domain2,GT,GT_ratio_order,coqex_precision,wikidata_precision,gpt3_few_shot_cardinality_precision,acc_root_majority_wikidata,acc_root_ttest_majority_wikidata,acc_root_ttest_wikidata,acc_root_majority_coqex,acc_root_ttest_coqex,acc_root_ttest_majority_coqex,acc_root_majority_gpt3,acc_root_ttest_gpt3,acc_root_ttest_majority_gpt3,acc_majority_root_majority,acc_majority_root_majority_ttest,acc_majority_root_ttest,acc_supervised_root_maj_ttest,acc_supervised_root_majority,acc_supervised_root_ttest
highway,scientific paper,geographical_entity,creative_work,-1,5,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
lake,religious text,geographical_entity,creative_work,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nuclear power plant,book,geographical_entity,creative_work,-1,5,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
world heritage site,song,geographical_entity,creative_work,-1,5,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
national park,bicycle,geographical_entity,man-made_object,-1,5,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
oil tanker,bicycle,man-made_object,man-made_object,-1,5,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
astronaut,song,occupation,creative_work,-1,5,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
lawyer,religious text,occupation,creative_work,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nurse,religious text,occupation,creative_work,1,5,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
police officer,religious text,occupation,creative_work,1,5,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
school teacher,national dance,occupation,creative_work,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
police officer,ancient civilization,occupation,geographical_entity,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
school teacher,ancient civilization,occupation,geographical_entity,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
animation studio,scientific paper,organization,creative_work,-1,5,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
cooperative,religious text,organization,creative_work,1,5,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
cryptocurrency exchange,book,organization,creative_work,-1,5,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
cryptocurrency exchange,scientific paper,organization,creative_work,-1,5,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
fast food restaurant,space station,organization,man-made_object,1,5,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
university,smartphone,organization,man-made_object,-1,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
bacteria,play,species,creative_work,1,5,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
snake,website,species,creative_work,-1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bacteria,oil tanker,species,man-made_object,1,5,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
bee,smartphone,species,man-made_object,-1,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
insect,formula one circuit,species,man-made_object,1,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mammal,smartphone,species,man-made_object,-1,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
spider,smartphone,species,man-made_object,-1,5,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
bacteria,bank,species,organization,1,5,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
bacteria,publisher,species,organization,1,5,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
mobile app,national dance,creative_work,creative_work,1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
scientific paper,animation feature film,creative_work,creative_work,1,4,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
book,oil tanker,creative_work,man-made_object,1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
book,satellite,creative_work,man-made_object,1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
book,skyscraper,creative_work,man-made_object,1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
book,spacecraft,creative_work,man-made_object,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
patent,formula one circuit,creative_work,man-made_object,1,4,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
scientific paper,skyscraper,creative_work,man-made_object,1,4,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
island,book,geographical_entity,creative_work,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lake,technological invention,geographical_entity,creative_work,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
national park,book,geographical_entity,creative_work,-1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
national park,scientific paper,geographical_entity,creative_work,-1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
volcano,song,geographical_entity,creative_work,-1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
zoo,scientific paper,geographical_entity,creative_work,-1,4,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
lake,highway,geographical_entity,geographical_entity,1,4,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
lake,submarine,geographical_entity,man-made_object,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lake,cryptocurrency exchange,geographical_entity,organization,1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
lake,tea company,geographical_entity,organization,1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
architect,religious text,occupation,creative_work,1,4,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
fashion designer,website,occupation,creative_work,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lawyer,national dance,occupation,creative_work,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NBA player,book,occupation,creative_work,-1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
researcher,national dance,occupation,creative_work,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
astronaut,lake,occupation,geographical_entity,-1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
lawyer,ancient civilization,occupation,geographical_entity,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nurse,nuclear power plant,occupation,geographical_entity,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
police officer,highway,occupation,geographical_entity,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
police officer,nuclear power plant,occupation,geographical_entity,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
politician,desert,occupation,geographical_entity,1,4,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1
researcher,desert,occupation,geographical_entity,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
architect,formula one circuit,occupation,man-made_object,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
journalist,smartphone,occupation,man-made_object,-1,4,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
school teacher,observatory,occupation,man-made_object,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
astronaut,nurse,occupation,occupation,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
politician,cryptocurrency exchange,occupation,organization,1,4,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1
researcher,cryptocurrency exchange,occupation,organization,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
animation studio,mobile app,organization,creative_work,-1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
animation studio,patent,organization,creative_work,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
coal power plant,song,organization,creative_work,-1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
conglomerate,book,organization,creative_work,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
cryptocurrency exchange,mobile app,organization,creative_work,-1,4,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
insect,national dance,species,creative_work,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
spider,website,species,creative_work,-1,4,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
insect,nuclear power plant,species,geographical_entity,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
bee,bicycle,species,man-made_object,-1,4,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
tree,space station,species,man-made_object,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
phytoplankton,school teacher,species,occupation,-1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
insect,cryptocurrency exchange,species,organization,1,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
book,painting,creative_work,creative_work,1,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
film,national dance,creative_work,creative_work,1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
film,website,creative_work,creative_work,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
mobile app,animation feature film,creative_work,creative_work,1,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
painting,religious text,creative_work,creative_work,1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
song,play,creative_work,creative_work,1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
board game,formula one circuit,creative_work,man-made_object,1,3,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
book,helicopter,creative_work,man-made_object,1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
film,formula one circuit,creative_work,man-made_object,1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
patent,observatory,creative_work,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
video game,bicycle,creative_work,man-made_object,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
video game,submarine,creative_work,man-made_object,1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
airport,song,geographical_entity,creative_work,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
castle,national dance,geographical_entity,creative_work,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
city,book,geographical_entity,creative_work,-1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
city,scientific paper,geographical_entity,creative_work,-1,3,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
island,mobile app,geographical_entity,creative_work,-1,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1
world heritage site,mobile app,geographical_entity,creative_work,-1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
lake,national park,geographical_entity,geographical_entity,1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
river,desert,geographical_entity,geographical_entity,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
highway,industrial robot,geographical_entity,man-made_object,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
lake,skyscraper,geographical_entity,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
river,bicycle,geographical_entity,man-made_object,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
river,formula one circuit,geographical_entity,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zoo,space station,geographical_entity,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ancient civilization,fast food restaurant,geographical_entity,organization,-1,3,1,,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
desert,public library,geographical_entity,organization,-1,3,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
desert,travel agency,geographical_entity,organization,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
lake,coal power plant,geographical_entity,organization,1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
lake,football club,geographical_entity,organization,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
percussion instrument,industrial robot,man-made_object,man-made_object,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
wind turbine,formula one circuit,man-made_object,man-made_object,1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
actor,technological invention,occupation,creative_work,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lawyer,technological invention,occupation,creative_work,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NBA player,mobile app,occupation,creative_work,-1,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
physicist,national dance,occupation,creative_work,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
police officer,animation feature film,occupation,creative_work,1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
actor,world heritage site,occupation,geographical_entity,1,3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
architect,world heritage site,occupation,geographical_entity,1,3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
astronaut,castle,occupation,geographical_entity,-1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
dentist,world heritage site,occupation,geographical_entity,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
journalist,desert,occupation,geographical_entity,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
journalist,nuclear power plant,occupation,geographical_entity,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
nurse,dam,occupation,geographical_entity,1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
politician,island,occupation,geographical_entity,1,3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1
politician,national park,occupation,geographical_entity,1,3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1
politician,world heritage site,occupation,geographical_entity,1,3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1
actor,smartphone,occupation,man-made_object,-1,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
actor,submarine,occupation,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
airline pilot,bicycle,occupation,man-made_object,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
dentist,percussion instrument,occupation,man-made_object,1,3,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
fashion designer,bicycle,occupation,man-made_object,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
lawyer,observatory,occupation,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
physicist,formula one circuit,occupation,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
physicist,smartphone,occupation,man-made_object,-1,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
police officer,skyscraper,occupation,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
NBA player,nurse,occupation,occupation,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
politician,NBA player,occupation,occupation,1,3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1
actor,conglomerate,occupation,organization,1,3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,1,1,1
airline pilot,animation studio,occupation,organization,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
journalist,animation studio,occupation,organization,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
police officer,conglomerate,occupation,organization,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
researcher,coal power plant,occupation,organization,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
school teacher,publisher,occupation,organization,1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
animation studio,film,organization,creative_work,-1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
bank,book,organization,creative_work,-1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
bank,scientific paper,organization,creative_work,-1,3,0,1,1,0,0,1,0,0,0,1,1,1,0,0,1,1,1,1
cryptocurrency exchange,video game,organization,creative_work,-1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
fast food restaurant,website,organization,creative_work,-1,3,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
publisher,song,organization,creative_work,-1,3,0,1,1,1,0,1,0,0,0,1,1,1,1,0,1,1,1,1
tea company,patent,organization,creative_work,-1,3,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
travel agency,religious text,organization,creative_work,1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
coal power plant,industrial robot,organization,man-made_object,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
cooperative,smartphone,organization,man-made_object,-1,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
cooperative,submarine,organization,man-made_object,1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
cryptocurrency exchange,industrial robot,organization,man-made_object,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
fast food restaurant,formula one circuit,organization,man-made_object,1,3,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
fast food restaurant,submarine,organization,man-made_object,1,3,1,,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
hospital,formula one circuit,organization,man-made_object,1,3,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
bacteria,film,species,creative_work,1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
fish,scientific paper,species,creative_work,-1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
phytoplankton,mobile app,species,creative_work,-1,3,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
plant,national dance,species,creative_work,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
snake,mobile app,species,creative_work,-1,3,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
bee,space station,species,man-made_object,1,3,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
grass,space station,species,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
insect,satellite,species,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mammal,space station,species,man-made_object,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
amphibian,police officer,species,occupation,-1,3,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
bee,nurse,species,occupation,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
fungus,astronaut,species,occupation,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
grass,police officer,species,occupation,-1,3,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
insect,NBA player,species,occupation,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
mammal,politician,species,occupation,-1,3,1,1,0,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1
phytoplankton,nurse,species,occupation,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
tree,school teacher,species,occupation,-1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
insect,coal power plant,species,organization,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
board game,national dance,creative_work,creative_work,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
animation feature film,formula one circuit,creative_work,man-made_object,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
animation feature film,industrial robot,creative_work,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
film,observatory,creative_work,man-made_object,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
film,satellite,creative_work,man-made_object,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
mobile app,bicycle,creative_work,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
mobile app,smartphone,creative_work,man-made_object,-1,2,,0,1,0,0,0,1,0,1,1,1,1,1,1,0,1,1,1
painting,observatory,creative_work,man-made_object,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
patent,satellite,creative_work,man-made_object,1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
play,formula one circuit,creative_work,man-made_object,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
religious text,skyscraper,creative_work,man-made_object,-1,2,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
video game,observatory,creative_work,man-made_object,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
website,industrial robot,creative_work,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
airport,national dance,geographical_entity,creative_work,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
island,religious text,geographical_entity,creative_work,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
volcano,mobile app,geographical_entity,creative_work,-1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
ancient civilization,zoo,geographical_entity,geographical_entity,-1,2,1,1,,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
desert,city,geographical_entity,geographical_entity,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
river,nuclear power plant,geographical_entity,geographical_entity,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
volcano,desert,geographical_entity,geographical_entity,1,2,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1
castle,satellite,geographical_entity,man-made_object,1,2,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,1
dam,formula one circuit,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lake,smartphone,geographical_entity,man-made_object,-1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
nuclear power plant,wind turbine,geographical_entity,man-made_object,-1,2,1,0,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
river,percussion instrument,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
river,submarine,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
zoo,formula one circuit,geographical_entity,man-made_object,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ancient civilization,bank,geographical_entity,organization,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
city,animation studio,geographical_entity,organization,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
dam,cooperative,geographical_entity,organization,-1,2,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1
desert,publisher,geographical_entity,organization,-1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
lake,publisher,geographical_entity,organization,1,2,0,1,1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1
nuclear power plant,hospital,geographical_entity,organization,-1,2,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1
