,class1,class2,domain1,domain2,GT,interdomain,weight_majority,prediction_majority,weight,wikidata,coqex,gpt,prob_lesser,prob_greater,pred,acc
10928,technological invention,satellite,creative_work,man-made_object,-1,True,-1.0,-1.0,-0.9870115068135161,-0.9870115068135161,-0.999998844133118,-0.012233752879414195,0.7533382842619206,0.24666171573807938,-1,1
9035,politician,nurse,occupation,occupation,-1,False,1.0,1.0,0.9990125985011831,0.9990125985011831,-0.9989999724988238,-0.9999936813209869,0.7692708293086754,0.23072917069132465,-1,1
11339,university,oil tanker,organization,man-made_object,1,True,1.0,1.0,0.9991324588275704,0.9991324588275704,-0.5,0.5,0.2975438301274559,0.7024561698725441,1,1
3410,coal power plant,cryptocurrency exchange,organization,organization,1,False,0.9473684210526316,1.0,0.9956854359375972,0.9956854359375972,-0.5,0.4894647047490908,0.3005346438114672,0.6994653561885328,1,1
11636,volcano,university,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9976712175060896,-0.9976712175060896,-0.5,-0.9792072472297892,0.8768420664530509,0.12315793354694918,-1,1
3473,coal power plant,song,organization,creative_work,-1,True,-0.5789473684210527,-1.0,-0.5,-0.5,0.5,-0.5,0.6303641902325214,0.36963580976747856,-1,1
5171,fungus,fish,species,species,1,False,-0.9473684210526316,-1.0,0.5,0.5,0.9985590930935514,-0.99324799324919,0.568674137816989,0.43132586218301106,-1,0
1601,architect,zoo,occupation,geographical_entity,1,True,1.0,1.0,0.9971766844501482,0.9971766844501482,0.5,0.0,0.2963059117963689,0.7036940882036311,1,1
8258,phytoplankton,fast food restaurant,species,organization,-1,True,-1.0,-1.0,-0.4819531923671448,-0.4819531923671448,-0.9977617208476404,-0.5,0.804731651642052,0.19526834835794799,-1,1
8459,plant,butterfly,species,species,1,False,-0.8421052631578947,-1.0,0.5,0.5,0.9860368312617144,0.5,0.18632187141805834,0.8136781285819417,1,1
4793,fish,industrial robot,species,man-made_object,-1,True,-0.8947368421052632,-1.0,0.5,0.5,-0.9998928527011588,-0.997579304312153,0.8133446106604411,0.18665538933955894,-1,1
7436,nuclear power plant,animation feature film,geographical_entity,creative_work,-1,True,-1.0,-1.0,-0.9784134887937816,-0.9784134887937816,0.9996625649196902,-0.9956130433886183,0.7462104812487718,0.2537895187512283,-1,1
6434,journalist,oil tanker,occupation,man-made_object,1,True,1.0,1.0,0.9991781891295932,0.9991781891295932,0.9960060739385469,0.5,0.14803209445162724,0.8519679055483728,1,1
6425,journalist,nuclear power plant,occupation,geographical_entity,1,True,1.0,1.0,0.999151348171031,0.999151348171031,0.9962646388101256,0.999954312532543,0.08795593519701417,0.9120440648029858,1,1
11657,website,formula one circuit,creative_work,man-made_object,1,True,0.9473684210526316,1.0,0.998388401664391,0.998388401664391,0.5,0.5,0.1893477572428025,0.8106522427571975,1,1
2951,butterfly,lawyer,species,occupation,-1,True,-1.0,-1.0,-0.9849726630251344,-0.9849726630251344,-0.9995980239635034,-0.9971531539617505,0.9067594213189965,0.09324057868100351,-1,1
5888,insect,airline pilot,species,occupation,1,True,-0.9473684210526316,-1.0,0.010193391655636985,0.010193391655636985,0.986071667384415,0.9972974697387567,0.1425153730641877,0.8574846269358123,1,1
4676,film,video game,creative_work,creative_work,-1,False,0.9473684210526316,1.0,0.9962224498864507,0.9962224498864507,-0.5,0.002254856525589599,0.43255001268127047,0.5674499873187295,1,0
5987,insect,hospital,species,organization,1,True,-0.9473684210526316,-1.0,0.0001448229894016051,0.0001448229894016051,0.9968621149491426,-0.0026811152635781155,0.3501738931783327,0.6498261068216673,1,1
4844,fish,physicist,species,occupation,-1,True,-1.0,-1.0,-0.9986768790796698,-0.9986768790796698,0.5,-0.5,0.6907441969463375,0.30925580305366257,-1,1
10217,snake,helicopter,species,man-made_object,-1,True,0.5789473684210527,1.0,0.5,0.5,-0.9939874389749628,-0.9999998102989619,0.8132432035987365,0.18675679640126358,-1,1
9029,politician,national park,occupation,geographical_entity,1,True,1.0,1.0,0.9990351470901873,0.9990351470901873,0.5,-0.022661171454238793,0.3016868607413371,0.6983131392586629,1,1
4196,desert,highway,geographical_entity,geographical_entity,-1,False,-0.6842105263157895,-1.0,0.5,0.5,-0.5,-0.9995110479941745,0.7643019466392416,0.23569805336075847,-1,1
4187,desert,football club,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9997693600048196,-0.9997693600048196,-0.5,-0.9967229902547785,0.8791723469520335,0.1208276530479665,-1,1
7472,nuclear power plant,football club,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9997425541787608,-0.9997425541787608,0.5,-0.996163225022461,0.800321873494698,0.19967812650530198,-1,1
4802,fish,lake,species,geographical_entity,-1,True,-1.0,-1.0,-0.5,-0.5,0.5,-0.9816636953318818,0.750417311969708,0.24958268803029204,-1,1
2387,bee,video game,species,creative_work,-1,True,-1.0,-1.0,-0.9891959172029724,-0.9891959172029724,0.9999999999880407,0.00225907280906551,0.4773522325838787,0.5226477674161213,1,0
1250,animation feature film,industrial robot,creative_work,man-made_object,-1,True,1.0,1.0,0.981406823308911,0.981406823308911,-0.999906372360858,-0.9976964258986372,0.7705748323490572,0.2294251676509428,-1,1
3404,coal power plant,conglomerate,organization,organization,-1,False,0.8947368421052632,1.0,0.9939370144618742,0.9939370144618742,0.9895351638688822,-0.9816680028156584,0.5002322426723966,0.49976775732760337,-1,1
4883,fish,scientific paper,species,creative_work,-1,True,-0.8947368421052632,-1.0,-0.5,-0.5,0.5,-0.9995682748881429,0.7543443389270825,0.2456556610729175,-1,1
8537,plant,national dance,species,creative_work,1,True,-0.6842105263157895,-1.0,0.5,0.5,0.9999189940425627,0.5,0.18507153649680852,0.8149284635031915,1,1
2525,bird,island,species,geographical_entity,1,True,-1.0,-1.0,-0.9960641425952947,-0.9960641425952947,0.5,0.5,0.40730764140917086,0.5926923585908291,1,1
3251,city,bank,geographical_entity,organization,-1,True,0.7368421052631579,1.0,0.9817349824450724,0.9817349824450724,-0.5,-0.5,0.5811961573337561,0.4188038426662439,-1,1
659,airline pilot,scientific paper,occupation,creative_work,-1,True,1.0,1.0,-0.003052798375019594,-0.003052798375019594,0.5,-0.9995736358354892,0.7012042660498883,0.29879573395011166,-1,1
188,NBA player,zoo,occupation,geographical_entity,-1,True,-0.7368421052631579,-1.0,0.5,0.5,-0.5,0.0,0.4999233039911496,0.5000766960088504,1,0
8330,phytoplankton,play,species,creative_work,-1,True,-1.0,-1.0,-0.997467189520446,-0.997467189520446,0.5,0.99505099648234,0.27744556300189427,0.7225544369981057,1,0
7136,mammal,wind turbine,species,man-made_object,-1,True,0.631578947368421,1.0,0.5,0.5,-0.5,-0.9789891196868098,0.7599218382409052,0.2400781617590948,-1,1
2888,butterfly,city,species,geographical_entity,-1,True,-0.9473684210526316,-1.0,0.00022843719769327642,0.00022843719769327642,0.5,-0.5,0.5654027879264112,0.4345972120735888,-1,1
1022,amphibian,police officer,species,occupation,-1,True,-0.7894736842105263,-1.0,0.5,0.5,-0.9999643755238621,-0.5,0.7080922153320375,0.2919077846679625,-1,1
4574,fast food restaurant,space station,organization,man-made_object,1,True,-0.5789473684210527,-1.0,0.0,0.0,0.9984622654805094,0.9938185243669694,0.14278821100633265,0.8572117889936673,1,1
7661,nurse,mobile app,occupation,creative_work,1,True,0.7894736842105263,1.0,0.9926861863478234,0.9926861863478234,0.5,-0.01042017364489839,0.29937957328816356,0.7006204267118364,1,1
6431,journalist,observatory,occupation,man-made_object,1,True,1.0,1.0,0.9991600985104789,0.9991600985104789,0.9962636763708765,0.9999246424343313,0.08795840351599682,0.9120415964840032,1,1
6197,island,formula one circuit,geographical_entity,man-made_object,1,True,1.0,1.0,0.9966308033162916,0.9966308033162916,-0.007721007584137185,0.9975778602674734,0.1497348980933827,0.8502651019066173,1,1
9809,satellite,industrial robot,man-made_object,man-made_object,-1,False,1.0,1.0,0.9881729281297732,0.9881729281297732,-0.9999030841391832,-0.9977055917232536,0.7699285364156994,0.23007146358430058,-1,1
1340,animation studio,national dance,organization,creative_work,-1,True,0.7368421052631579,1.0,0.977814896356067,0.977814896356067,0.5,-0.4999002481614762,0.4339026916353913,0.5660973083646087,1,0
3260,city,book,geographical_entity,creative_work,-1,True,-0.8947368421052632,-1.0,-0.9818995320441738,-0.9818995320441738,0.5,-0.9950858088016619,0.7985706027100682,0.20142939728993184,-1,1
11003,travel agency,religious text,organization,creative_work,1,True,-0.7894736842105263,-1.0,-0.5,-0.5,0.5,0.5,0.34445256120225687,0.6555474387977431,1,1
4124,dentist,wind turbine,occupation,man-made_object,1,True,0.8947368421052632,1.0,0.997095296127458,0.997095296127458,0.9998031108654268,0.9996621336101008,0.08790371173633349,0.9120962882636665,1,1
5810,hospital,observatory,organization,man-made_object,1,True,1.0,1.0,0.9998990808135317,0.9998990808135317,-0.016827874992108915,0.9999997988589806,0.14983737101240135,0.8501626289875986,1,1
9458,researcher,coal power plant,occupation,organization,1,True,-0.7894736842105263,-1.0,0.5,0.5,0.9974094507513374,0.9877981036112615,0.11353355789665864,0.8864664421033414,1,1
8039,physicist,fast food restaurant,occupation,organization,1,True,1.0,1.0,0.498717241664518,0.498717241664518,-0.9973776133812502,0.5,0.4275132976234213,0.5724867023765787,1,1
1541,architect,publisher,occupation,organization,1,True,0.7368421052631579,1.0,0.9772581816718398,0.9772581816718398,0.5,0.0,0.298558014068503,0.701441985931497,1,1
4931,fish,wind turbine,species,man-made_object,-1,True,-0.9473684210526316,-1.0,0.5,0.5,-0.5,-0.5,0.6429842009369173,0.35701579906308273,-1,1
9362,religious text,animation feature film,creative_work,creative_work,-1,False,-1.0,-1.0,-0.9808693736072318,-0.9808693736072318,0.5,0.5,0.40532442700635185,0.5946755729936481,1,0
10151,snake,bank,species,organization,-1,True,-0.8421052631578947,-1.0,0.5,0.5,-0.5,-0.5,0.6429842009369173,0.35701579906308273,-1,1
5318,fungus,tree,species,species,1,False,-0.9473684210526316,-1.0,0.5,0.5,0.5,-0.5,0.49817629319429735,0.5018237068057027,1,1
6059,insect,public library,species,organization,1,True,-0.9473684210526316,-1.0,0.008852020998891597,0.008852020998891597,0.9967853459433036,0.9972249084675362,0.14183601853848427,0.8581639814615157,1,1
296,actor,merchant ship,occupation,man-made_object,1,True,1.0,1.0,0.9995419700397981,0.9995419700397981,0.5,-0.5,0.43104613701315087,0.5689538629868491,1,1
6416,journalist,mobile app,occupation,creative_work,-1,True,1.0,1.0,0.9991604581865938,0.9991604581865938,0.5,-0.9981123704177046,0.5766525830037934,0.42334741699620665,-1,1
4799,fish,journalist,species,occupation,-1,True,-1.0,-1.0,-0.9991698728352332,-0.9991698728352332,-0.5,0.9969561982082304,0.4102686887567648,0.5897313112432352,1,0
1301,animation studio,board game,organization,creative_work,-1,True,0.7368421052631579,1.0,-0.5,-0.5,0.5,-0.9999737232791002,0.7544327820603753,0.24556721793962472,-1,1
6464,journalist,river,occupation,geographical_entity,1,True,-0.5263157894736842,-1.0,-0.9802567809705143,-0.9802567809705143,-0.5,-0.5,0.8004755367625922,0.19952446323740783,-1,0
4610,film,formula one circuit,creative_work,man-made_object,1,True,1.0,1.0,0.9985789479150196,0.9985789479150196,-0.5,0.9999991810075112,0.19040697750364477,0.8095930224963552,1,1
7520,nuclear power plant,publisher,geographical_entity,organization,-1,True,-1.0,-1.0,-0.9987525517597355,-0.9987525517597355,-0.5,-0.9987750475873514,0.8793703975708815,0.12062960242911844,-1,1
2228,bee,coal power plant,species,organization,1,True,-1.0,-1.0,0.004129414314893776,0.004129414314893776,0.9999999999954738,1.0,0.14151661601917453,0.8584833839808255,1,1
10211,snake,formula one circuit,species,man-made_object,1,True,-0.736842105263158,-1.0,0.5,0.5,0.9993907483579464,0.9946914940230668,0.11260136236877738,0.8873986376312226,1,1
2273,bee,industrial robot,species,man-made_object,-1,True,-1.0,-1.0,0.5,0.5,-0.9998833706626741,-0.9965953718280363,0.8131678294970605,0.18683217050293954,-1,1
1778,astronaut,spacecraft,occupation,man-made_object,-1,True,0.8421052631578947,1.0,0.5,0.5,0.5,-0.9987961239105259,0.6410523866046377,0.3589476133953623,-1,1
1811,astronaut,zoo,occupation,geographical_entity,-1,True,-0.7894736842105263,-1.0,-0.5,-0.5,0.5,-0.9786676863688271,0.7497561184543602,0.25024388154563987,-1,1
5276,fungus,satellite,species,man-made_object,1,True,-1.0,-1.0,0.013077954234116007,0.013077954234116007,0.9996951404219079,-1.6865953078593066e-12,0.3474840937666933,0.6525159062333067,1,1
1364,animation studio,religious text,organization,creative_work,1,True,0.6842105263157895,1.0,-0.5,-0.5,-0.5,-0.5,0.755730828354536,0.244269171645464,-1,0
11435,video game,painting,creative_work,creative_work,1,False,0.7368421052631579,1.0,-0.5,-0.5,-0.9846291285563868,-0.5,0.8050367023389108,0.19496329766108922,-1,0
641,airline pilot,play,occupation,creative_work,1,True,0.9473684210526316,1.0,-0.011109024203988183,-0.011109024203988183,0.5,0.5,0.28740094415336237,0.7125990558466376,1,1
2807,book,skyscraper,creative_work,man-made_object,1,True,0.8947368421052632,1.0,0.9798047486475955,0.9798047486475955,-0.5,0.9950858992987046,0.19287670348439045,0.8071232965156095,1,1
7829,painting,helicopter,creative_work,man-made_object,1,True,0.9473684210526316,1.0,0.5,0.5,-0.5,-0.5,0.6429842009369173,0.35701579906308273,-1,0
3587,conglomerate,spacecraft,organization,man-made_object,-1,True,0.631578947368421,1.0,-0.003547877409940503,-0.003547877409940503,-0.9913636731279774,-0.5,0.7601442208604798,0.23985577913952016,-1,1
2099,bank,helicopter,organization,man-made_object,-1,True,1.0,1.0,0.9998438298723866,0.9998438298723866,-0.9984469496887667,-0.9982870254874923,0.7687755368846526,0.2312244631153474,-1,1
7697,nurse,religious text,occupation,creative_work,1,True,0.9473684210526316,1.0,-0.005060291104517611,-0.005060291104517611,0.9984142795272339,0.9999936649429217,0.14223788483943756,0.8577621151605624,1,1
7100,mammal,space station,species,man-made_object,1,True,0.631578947368421,1.0,0.5,0.5,0.9999286125888269,0.9999999993116291,0.11194653780891695,0.888053462191083,1,1
7931,patent,scientific paper,creative_work,creative_work,-1,False,-0.9473684210526316,-1.0,-0.5,-0.5,0.5,-0.5,0.6303641902325214,0.36963580976747856,-1,1
488,airline,skyscraper,organization,man-made_object,-1,True,0.6842105263157895,1.0,0.5,0.5,-0.9959525469800986,-0.9884553859049128,0.8113494212793679,0.188650578720632,-1,1
11960,zoo,scientific paper,geographical_entity,creative_work,-1,True,0.9473684210526316,1.0,-0.0012511021081372253,-0.0012511021081372253,0.5,-0.9995834392153453,0.7010023972241294,0.2989976027758706,-1,1
6296,island,volcano,geographical_entity,geographical_entity,-1,False,1.0,1.0,0.9966367637020705,0.9966367637020705,-0.008183019659216584,0.9966953620012569,0.1499018743509941,0.8500981256490059,1,0
3926,dam,tea company,geographical_entity,organization,1,True,1.0,1.0,0.5,0.5,0.9975122449518203,0.9999917508930096,0.11209066885062835,0.8879093311493717,1,1
7112,mammal,tea company,species,organization,1,True,0.631578947368421,1.0,0.5,0.5,0.9995629538257025,0.9999999969947827,0.11196819230597577,0.8880318076940242,1,1
5492,grass,play,species,creative_work,-1,True,-0.9473684210526316,-1.0,0.5,0.5,0.5,0.5,0.23422814587958585,0.7657718541204142,1,0
7313,national park,coal power plant,geographical_entity,organization,1,True,-0.631578947368421,-1.0,0.5,0.5,-0.9826203237690302,-0.9757346266880706,0.8078166251554828,0.19218337484451725,-1,0
2018,bacteria,space station,species,man-made_object,1,True,-1.0,-1.0,0.5,0.5,0.9999995306983618,0.5,0.18506430169995747,0.8149356983000425,1,1
5537,grass,spacecraft,species,man-made_object,1,True,-0.6842105263157895,-1.0,0.5,0.5,0.9999999999999998,0.9992061131615776,0.11203525783264445,0.8879647421673555,1,1
4130,dentist,zoo,occupation,geographical_entity,1,True,0.5263157894736843,1.0,0.5,0.5,0.999892212588591,0.9997231515958565,0.11198110016878182,0.8880188998312182,1,1
4055,dentist,painting,occupation,creative_work,1,True,-0.6842105263157895,-1.0,-0.5,-0.5,0.999861477406928,0.5,0.28064806437887246,0.7193519356211275,1,1
11780,world heritage site,mobile app,geographical_entity,creative_work,-1,True,-1.0,-1.0,-0.9993440218345733,-0.9993440218345733,0.5,-0.9981344188922465,0.8006580602755053,0.1993419397244946,-1,1
8,NBA player,airport,occupation,geographical_entity,-1,True,-1.0,-1.0,-0.5,-0.5,0.5,-0.5,0.6303641902325214,0.36963580976747856,-1,1
3290,city,highway,geographical_entity,geographical_entity,1,False,0.9473684210526316,1.0,0.9993915757458838,0.9993915757458838,0.5,-0.9956841404232908,0.5759240005515215,0.4240759994484785,-1,0
4742,fish,city,species,geographical_entity,-1,True,-0.9473684210526316,-1.0,-0.9998012062061026,-0.9998012062061026,0.9959239038084933,0.5,0.33883855599600154,0.6611614440039985,1,0
956,amphibian,helicopter,species,man-made_object,-1,True,0.5789473684210527,1.0,0.5,0.5,-0.5,-0.5,0.6429842009369173,0.35701579906308273,-1,1
10850,tea company,patent,organization,creative_work,-1,True,-0.9473684210526316,-1.0,-0.5,-0.5,0.001568540719834699,-0.9982498036982124,0.8049068038550131,0.19509319614498682,-1,1
9941,school teacher,national dance,occupation,creative_work,1,True,0.9473684210526316,1.0,0.9803467797994971,0.9803467797994971,0.997216492574879,1.0,0.08872537122392632,0.9112746287760737,1,1
9620,researcher,zoo,occupation,geographical_entity,1,True,-0.7894736842105263,-1.0,0.5,0.5,0.9974329510138424,0.9878031024171511,0.113531556849644,0.886468443150356,1,1
10226,snake,industrial robot,species,man-made_object,-1,True,0.5789473684210527,1.0,0.5,0.5,-0.9999049355110528,-0.9976949769086552,0.8133663765713289,0.18663362342867104,-1,1
7265,national dance,skyscraper,creative_work,man-made_object,-1,True,-1.0,-1.0,-0.9894310362709122,-0.9894310362709122,-0.998066511714438,-0.989834682416844,0.9061560508838475,0.09384394911615242,-1,1
827,airport,song,geographical_entity,creative_work,-1,True,0.8947368421052632,1.0,-0.5,-0.5,-0.5,-0.5,0.755730828354536,0.244269171645464,-1,1
2849,butterfly,airport,species,geographical_entity,-1,True,-1.0,-1.0,0.5,0.5,0.5,-0.00017829319761669682,0.35532078350880536,0.6446792164911946,1,0
5495,grass,police officer,species,occupation,-1,True,-0.9473684210526316,-1.0,0.01029966577062591,0.01029966577062591,-0.9999562221734878,-0.5,0.7597110176976073,0.24028898230239273,-1,1
3827,dam,conglomerate,geographical_entity,organization,1,True,1.0,1.0,0.5,0.5,0.9978474042401764,-0.5,0.4246214302709269,0.5753785697290731,1,1
4268,desert,submarine,geographical_entity,man-made_object,-1,True,-0.736842105263158,-1.0,0.5,0.5,-0.5,-0.9944012893871765,0.7632165313102096,0.23678346868979036,-1,1
6047,insect,plant,species,species,1,False,-0.7894736842105263,-1.0,0.5,0.5,0.9876527171400205,0.5,0.1861759979772235,0.8138240020227765,1,1
7163,mobile app,bicycle,creative_work,man-made_object,-1,True,0.9473684210526316,1.0,0.9994376367591922,0.9994376367591922,-0.5,-0.9900792490299095,0.7099362551321771,0.29006374486782294,-1,1
8630,plant,tree,species,species,1,False,-0.6842105263157895,-1.0,0.5,0.5,0.5,0.0,0.35527270281544254,0.6447272971845575,1,1
10643,spider,national park,species,geographical_entity,1,True,0.5789473684210527,1.0,0.5,0.5,0.5,0.9857959902582982,0.14722756604523857,0.8527724339547614,1,1
6959,mammal,cooperative,species,organization,-1,True,-0.631578947368421,-1.0,0.5,0.5,-0.9810797360679868,-0.9968057724833466,0.8114981661426499,0.1885018338573501,-1,1
8240,phytoplankton,cooperative,species,organization,-1,True,-1.0,-1.0,-0.9978645407948098,-0.9978645407948098,-0.9782357952718677,0.0,0.7493227030639631,0.2506772969360369,-1,1
9284,publisher,industrial robot,organization,man-made_object,-1,True,1.0,1.0,0.9990825060179209,0.9990825060179209,-0.9998038386676344,-0.9976921805182811,0.7688679298818184,0.23113207011818157,-1,1
11408,video game,bicycle,creative_work,man-made_object,-1,True,1.0,1.0,0.9891941353744732,0.9891941353744732,-0.5,-0.5,0.5802134558349541,0.41978654416504585,-1,1
1640,astronaut,castle,occupation,geographical_entity,-1,True,-0.5263157894736842,-1.0,-0.9870544194527432,-0.9870544194527432,0.5,-0.9999999994289661,0.7999463483783436,0.20005365162165642,-1,1
4934,fish,world heritage site,species,geographical_entity,1,True,-0.8947368421052632,-1.0,0.5,0.5,0.9985532418273972,0.9998268974227781,0.11204828029926517,0.8879517197007348,1,1
10844,tea company,oil tanker,organization,man-made_object,-1,True,-0.9473684210526316,-1.0,-0.9801006326898698,-0.9801006326898698,0.5,-0.9999998882388779,0.799343524164672,0.20065647583532797,-1,1
4541,fast food restaurant,oil tanker,organization,man-made_object,1,True,-0.631578947368421,-1.0,0.0,0.0,0.9984114308716732,0.9839826292493776,0.14421517600233003,0.85578482399767,1,1
287,actor,journalist,occupation,occupation,1,False,1.0,1.0,0.9876784827499188,0.9876784827499188,-0.5,-0.5,0.5804131863193676,0.4195868136806324,-1,0
