domain1,domain2,interdomain,class1,class2,GT,GT_ratio_order,prediction,accuracy,precision,abstention
creative_work,creative_work,False,film,national dance,1,3,1.0,1,1.0,0.0
creative_work,creative_work,False,film,painting,1,0,-1.0,0,0.0,0.0
creative_work,creative_work,False,film,patent,-1,0,-1.0,1,1.0,0.0
creative_work,creative_work,False,film,play,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,film,religious text,1,4,1.0,1,1.0,0.0
creative_work,creative_work,False,film,scientific paper,-1,2,-1.0,1,1.0,0.0
creative_work,creative_work,False,film,song,-1,2,-1.0,1,1.0,0.0
creative_work,creative_work,False,film,technological invention,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,film,video game,-1,0,1.0,0,0.0,0.0
creative_work,creative_work,False,film,website,-1,3,-1.0,1,1.0,0.0
creative_work,creative_work,False,mobile app,animation feature film,1,3,-1.0,0,0.0,0.0
creative_work,creative_work,False,mobile app,national dance,1,4,1.0,1,1.0,0.0
creative_work,creative_work,False,mobile app,patent,1,0,-1.0,0,0.0,0.0
creative_work,creative_work,False,mobile app,play,1,2,-1.0,0,0.0,0.0
creative_work,creative_work,False,mobile app,religious text,1,5,-1.0,0,0.0,0.0
creative_work,creative_work,False,mobile app,scientific paper,-1,1,-1.0,1,1.0,0.0
creative_work,creative_work,False,mobile app,song,-1,1,-1.0,1,1.0,0.0
creative_work,creative_work,False,mobile app,technological invention,1,4,1.0,1,1.0,0.0
creative_work,creative_work,False,mobile app,website,-1,2,-1.0,1,1.0,0.0
creative_work,creative_work,False,national dance,animation feature film,-1,1,-1.0,1,1.0,0.0
creative_work,creative_work,False,national dance,religious text,1,1,-1.0,0,0.0,0.0
creative_work,creative_work,False,national dance,technological invention,-1,0,-1.0,1,1.0,0.0
creative_work,creative_work,False,national dance,website,-1,6,-1.0,1,1.0,0.0
creative_work,creative_work,False,painting,animation feature film,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,painting,mobile app,-1,1,1.0,0,0.0,0.0
creative_work,creative_work,False,painting,national dance,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,painting,patent,-1,1,-1.0,1,1.0,0.0
creative_work,creative_work,False,painting,play,1,0,1.0,1,1.0,0.0
creative_work,creative_work,False,painting,religious text,1,3,1.0,1,1.0,0.0
creative_work,creative_work,False,painting,scientific paper,-1,3,-1.0,1,1.0,0.0
creative_work,creative_work,False,painting,song,-1,3,1.0,0,0.0,0.0
creative_work,creative_work,False,painting,technological invention,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,painting,website,-1,4,-1.0,1,1.0,0.0
creative_work,creative_work,False,patent,animation feature film,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,patent,national dance,1,4,1.0,1,1.0,0.0
creative_work,creative_work,False,patent,religious text,1,5,1.0,1,1.0,0.0
creative_work,creative_work,False,patent,scientific paper,-1,1,-1.0,1,1.0,0.0
creative_work,creative_work,False,patent,technological invention,1,3,1.0,1,1.0,0.0
creative_work,creative_work,False,patent,website,-1,2,-1.0,1,1.0,0.0
creative_work,creative_work,False,play,animation feature film,1,0,1.0,1,1.0,0.0
creative_work,creative_work,False,play,national dance,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,play,patent,-1,2,-1.0,1,1.0,0.0
creative_work,creative_work,False,play,religious text,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,play,scientific paper,-1,3,-1.0,1,1.0,0.0
creative_work,creative_work,False,play,technological invention,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,play,website,-1,5,-1.0,1,1.0,0.0
creative_work,creative_work,False,religious text,animation feature film,-1,2,1.0,0,0.0,0.0
creative_work,creative_work,False,religious text,technological invention,-1,1,1.0,0,0.0,0.0
creative_work,creative_work,False,religious text,website,-1,7,-1.0,1,1.0,0.0
creative_work,creative_work,False,scientific paper,animation feature film,1,4,1.0,1,1.0,0.0
creative_work,creative_work,False,scientific paper,national dance,1,5,1.0,1,1.0,0.0
creative_work,creative_work,False,scientific paper,religious text,1,6,1.0,1,1.0,0.0
creative_work,creative_work,False,scientific paper,technological invention,1,5,1.0,1,1.0,0.0
creative_work,creative_work,False,scientific paper,website,-1,1,-1.0,1,1.0,0.0
creative_work,creative_work,False,song,animation feature film,1,4,1.0,1,1.0,0.0
creative_work,creative_work,False,song,national dance,1,5,1.0,1,1.0,0.0
creative_work,creative_work,False,song,patent,1,1,-1.0,0,0.0,0.0
creative_work,creative_work,False,song,play,1,3,1.0,1,1.0,0.0
creative_work,creative_work,False,song,religious text,1,6,1.0,1,1.0,0.0
creative_work,creative_work,False,song,scientific paper,1,0,-1.0,0,0.0,0.0
creative_work,creative_work,False,song,technological invention,1,5,1.0,1,1.0,0.0
creative_work,creative_work,False,song,website,-1,1,-1.0,1,1.0,0.0
creative_work,creative_work,False,technological invention,website,-1,6,-1.0,1,1.0,0.0
creative_work,creative_work,False,video game,animation feature film,1,1,1.0,1,1.0,0.0
creative_work,creative_work,False,video game,mobile app,-1,1,1.0,0,0.0,0.0
creative_work,creative_work,False,video game,national dance,1,3,1.0,1,1.0,0.0
creative_work,creative_work,False,video game,painting,1,0,-1.0,0,0.0,0.0
creative_work,creative_work,False,video game,patent,-1,0,-1.0,1,1.0,0.0
creative_work,creative_work,False,video game,play,1,1,-1.0,0,0.0,0.0
creative_work,creative_work,False,video game,religious text,1,4,0.0,0,,1.0
creative_work,creative_work,False,video game,scientific paper,-1,2,-1.0,1,1.0,0.0
creative_work,creative_work,False,video game,song,-1,2,-1.0,1,1.0,0.0
creative_work,creative_work,False,video game,technological invention,1,2,1.0,1,1.0,0.0
creative_work,creative_work,False,video game,website,-1,3,-1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,bicycle,-1,5,-1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,formula one circuit,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,helicopter,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,industrial robot,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,merchant ship,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,observatory,1,0,0.0,0,,1.0
creative_work,man-made_object,True,animation feature film,oil tanker,-1,0,0.0,0,,1.0
creative_work,man-made_object,True,animation feature film,percussion instrument,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,satellite,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,animation feature film,skyscraper,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,animation feature film,smartphone,-1,5,1.0,0,0.0,0.0
creative_work,man-made_object,True,animation feature film,space station,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,spacecraft,1,0,1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,submarine,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,animation feature film,wind turbine,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,bicycle,-1,4,-1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,formula one circuit,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,helicopter,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,board game,industrial robot,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,merchant ship,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,board game,observatory,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,oil tanker,1,0,1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,percussion instrument,1,2,0.0,0,,1.0
creative_work,man-made_object,True,board game,satellite,1,1,-1.0,0,0.0,0.0
creative_work,man-made_object,True,board game,skyscraper,1,1,-1.0,0,0.0,0.0
creative_work,man-made_object,True,board game,smartphone,-1,4,1.0,0,0.0,0.0
creative_work,man-made_object,True,board game,space station,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,spacecraft,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,submarine,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,board game,wind turbine,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,book,bicycle,-1,0,1.0,0,0.0,0.0
creative_work,man-made_object,True,book,formula one circuit,1,6,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,helicopter,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,industrial robot,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,merchant ship,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,observatory,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,oil tanker,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,percussion instrument,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,satellite,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,skyscraper,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,smartphone,-1,1,1.0,0,0.0,0.0
creative_work,man-made_object,True,book,space station,1,7,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,spacecraft,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,submarine,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,book,wind turbine,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,film,bicycle,-1,3,-1.0,1,1.0,0.0
creative_work,man-made_object,True,film,formula one circuit,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,film,helicopter,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,film,industrial robot,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,film,merchant ship,1,1,-1.0,0,0.0,0.0
creative_work,man-made_object,True,film,observatory,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,film,oil tanker,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,film,percussion instrument,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,film,satellite,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,film,skyscraper,1,1,-1.0,0,0.0,0.0
creative_work,man-made_object,True,film,smartphone,-1,4,1.0,0,0.0,0.0
creative_work,man-made_object,True,film,space station,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,film,spacecraft,1,1,-1.0,0,0.0,0.0
creative_work,man-made_object,True,film,submarine,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,film,wind turbine,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,mobile app,bicycle,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,formula one circuit,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,helicopter,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,industrial robot,1,0,1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,merchant ship,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,observatory,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,oil tanker,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,percussion instrument,1,4,-1.0,0,0.0,0.0
creative_work,man-made_object,True,mobile app,satellite,1,3,-1.0,0,0.0,0.0
creative_work,man-made_object,True,mobile app,skyscraper,1,3,-1.0,0,0.0,0.0
creative_work,man-made_object,True,mobile app,smartphone,-1,2,0.0,0,,1.0
creative_work,man-made_object,True,mobile app,space station,1,6,1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,spacecraft,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,mobile app,submarine,1,4,-1.0,0,0.0,0.0
creative_work,man-made_object,True,mobile app,wind turbine,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,bicycle,-1,6,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,formula one circuit,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,national dance,helicopter,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,industrial robot,-1,3,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,merchant ship,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,observatory,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,oil tanker,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,percussion instrument,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,satellite,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,skyscraper,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,smartphone,-1,7,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,space station,1,2,-1.0,0,0.0,0.0
creative_work,man-made_object,True,national dance,spacecraft,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,submarine,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,national dance,wind turbine,-1,3,-1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,bicycle,-1,4,-1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,formula one circuit,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,helicopter,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,painting,industrial robot,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,merchant ship,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,painting,observatory,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,oil tanker,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,percussion instrument,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,satellite,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,skyscraper,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,smartphone,-1,4,1.0,0,0.0,0.0
creative_work,man-made_object,True,painting,space station,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,spacecraft,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,submarine,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,painting,wind turbine,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,bicycle,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,formula one circuit,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,helicopter,1,1,0.0,0,,1.0
creative_work,man-made_object,True,patent,industrial robot,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,patent,merchant ship,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,observatory,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,oil tanker,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,percussion instrument,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,satellite,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,skyscraper,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,smartphone,-1,3,1.0,0,0.0,0.0
creative_work,man-made_object,True,patent,space station,1,6,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,spacecraft,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,submarine,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,patent,wind turbine,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,play,bicycle,-1,4,-1.0,1,1.0,0.0
creative_work,man-made_object,True,play,formula one circuit,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,play,helicopter,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,play,industrial robot,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,play,merchant ship,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,play,observatory,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,play,oil tanker,1,0,1.0,1,1.0,0.0
creative_work,man-made_object,True,play,percussion instrument,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,play,satellite,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,play,skyscraper,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,play,smartphone,-1,5,1.0,0,0.0,0.0
creative_work,man-made_object,True,play,space station,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,play,spacecraft,1,0,1.0,1,1.0,0.0
creative_work,man-made_object,True,play,submarine,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,play,wind turbine,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,religious text,bicycle,-1,7,-1.0,1,1.0,0.0
creative_work,man-made_object,True,religious text,formula one circuit,-1,0,1.0,0,0.0,0.0
creative_work,man-made_object,True,religious text,helicopter,-1,3,-1.0,1,1.0,0.0
creative_work,man-made_object,True,religious text,industrial robot,-1,5,-1.0,1,1.0,0.0
creative_work,man-made_object,True,religious text,merchant ship,-1,3,-1.0,1,1.0,0.0
creative_work,man-made_object,True,religious text,observatory,-1,1,1.0,0,0.0,0.0
creative_work,man-made_object,True,religious text,oil tanker,-1,2,1.0,0,0.0,0.0
creative_work,man-made_object,True,religious text,percussion instrument,-1,1,1.0,0,0.0,0.0
creative_work,man-made_object,True,religious text,satellite,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,religious text,skyscraper,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,religious text,smartphone,-1,8,1.0,0,0.0,0.0
creative_work,man-made_object,True,religious text,space station,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,religious text,spacecraft,-1,2,1.0,0,0.0,0.0
creative_work,man-made_object,True,religious text,submarine,-1,1,1.0,0,0.0,0.0
creative_work,man-made_object,True,religious text,wind turbine,-1,4,-1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,bicycle,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,formula one circuit,1,6,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,helicopter,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,industrial robot,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,merchant ship,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,observatory,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,oil tanker,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,percussion instrument,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,satellite,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,skyscraper,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,smartphone,-1,1,1.0,0,0.0,0.0
creative_work,man-made_object,True,scientific paper,space station,1,7,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,spacecraft,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,submarine,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,scientific paper,wind turbine,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,bicycle,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,song,formula one circuit,1,6,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,helicopter,1,3,-1.0,0,0.0,0.0
creative_work,man-made_object,True,song,industrial robot,1,1,-1.0,0,0.0,0.0
creative_work,man-made_object,True,song,merchant ship,1,3,-1.0,0,0.0,0.0
creative_work,man-made_object,True,song,observatory,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,oil tanker,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,percussion instrument,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,satellite,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,skyscraper,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,smartphone,-1,1,1.0,0,0.0,0.0
creative_work,man-made_object,True,song,space station,1,7,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,spacecraft,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,submarine,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,song,wind turbine,1,2,-1.0,0,0.0,0.0
creative_work,man-made_object,True,technological invention,bicycle,-1,6,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,formula one circuit,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,technological invention,helicopter,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,industrial robot,-1,3,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,merchant ship,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,observatory,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,oil tanker,-1,1,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,percussion instrument,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,technological invention,satellite,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,skyscraper,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,smartphone,-1,6,1.0,0,0.0,0.0
creative_work,man-made_object,True,technological invention,space station,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,spacecraft,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,technological invention,submarine,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,technological invention,wind turbine,-1,2,-1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,bicycle,-1,3,-1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,formula one circuit,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,helicopter,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,video game,industrial robot,-1,0,-1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,merchant ship,1,1,-1.0,0,0.0,0.0
creative_work,man-made_object,True,video game,observatory,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,oil tanker,1,1,1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,percussion instrument,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,satellite,1,2,-1.0,0,0.0,0.0
creative_work,man-made_object,True,video game,skyscraper,1,1,-1.0,0,0.0,0.0
creative_work,man-made_object,True,video game,smartphone,-1,3,1.0,0,0.0,0.0
creative_work,man-made_object,True,video game,space station,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,spacecraft,1,1,0.0,0,,1.0
creative_work,man-made_object,True,video game,submarine,1,3,1.0,1,1.0,0.0
creative_work,man-made_object,True,video game,wind turbine,1,0,-1.0,0,0.0,0.0
creative_work,man-made_object,True,website,bicycle,1,0,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,formula one circuit,1,7,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,helicopter,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,industrial robot,1,2,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,merchant ship,1,4,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,observatory,1,6,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,oil tanker,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,percussion instrument,1,6,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,satellite,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,skyscraper,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,smartphone,-1,0,1.0,0,0.0,0.0
creative_work,man-made_object,True,website,space station,1,8,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,spacecraft,1,5,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,submarine,1,6,1.0,1,1.0,0.0
creative_work,man-made_object,True,website,wind turbine,1,3,1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,animation feature film,1,0,1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,board game,-1,0,1.0,0,0.0,0.0
geographical_entity,creative_work,True,airport,book,-1,3,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,film,-1,1,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,mobile app,-1,2,1.0,0,0.0,0.0
geographical_entity,creative_work,True,airport,national dance,1,2,1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,painting,-1,0,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,patent,-1,1,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,play,1,0,1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,religious text,1,3,1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,scientific paper,-1,3,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,song,-1,3,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,technological invention,1,1,1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,video game,-1,1,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,airport,website,-1,4,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,ancient civilization,animation feature film,-1,1,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,ancient civilization,board game,-1,2,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,ancient civilization,book,-1,6,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,ancient civilization,film,-1,3,-1.0,1,1.0,0.0
geographical_entity,creative_work,True,ancient civilization,mobile app,-1,5,-1.0,1,1.0,0.0
